epoch,train_loss,valid_loss,valid_accuracy,learning_rate
0,0.380175918340683,0.3724612593650818,0.6275760531425476,10
1,0.37345457077026367,0.12850497663021088,0.8714426159858704,10
2,0.12598921358585358,0.2098098248243332,0.7904808521270752,10
3,0.21419861912727356,0.08211609721183777,0.9180569052696228,10
4,0.0827193409204483,0.07064308971166611,0.92934250831604,10
5,0.07438300549983978,0.06673064827919006,0.9332678914070129,10
6,0.07001379132270813,0.0565478689968586,0.9435721039772034,10
7,0.06138446927070618,0.05643517151474953,0.9435721039772034,10
8,0.060428645461797714,0.068211130797863,0.9317958950996399,10
9,0.07573222368955612,0.060793742537498474,0.9391560554504395,10
10,0.06159154325723648,0.05393946170806885,0.9460254907608032,10
11,0.05654214322566986,0.05539391189813614,0.9445534944534302,10
12,0.0569518581032753,0.04955718666315079,0.9504415988922119,10
13,0.05162802338600159,0.05054081603884697,0.9494602680206299,10
14,0.05296459048986435,0.0490681454539299,0.9509322643280029,10
15,0.05014561489224434,0.05348389223217964,0.946516215801239,10
16,0.0523892417550087,0.04606175422668457,0.9538763761520386,10
17,0.04631233960390091,0.04975000396370888,0.9504415988922119,10
18,0.049377407878637314,0.04563306272029877,0.9543670415878296,10
19,0.043917883187532425,0.04906780272722244,0.9509322643280029,10
0,0.47989529371261597,0.3151797354221344,0.6849852800369263,15
1,0.3291154205799103,0.3066041171550751,0.6933267712593079,15
2,0.30942288041114807,0.19665400683879852,0.8032384514808655,15
3,0.1982179582118988,0.1559654027223587,0.843964695930481,15
4,0.1706615835428238,0.07801760733127594,0.9219823479652405,15
5,0.08249178528785706,0.057409316301345825,0.9425907731056213,15
6,0.05211877450346947,0.057405225932598114,0.9425907731056213,15
7,0.05006726458668709,0.05626336485147476,0.9435721039772034,15
8,0.05014457553625107,0.05384845659136772,0.9460254907608032,15
9,0.05274392291903496,0.04761280119419098,0.9524043202400208,15
10,0.04775542393326759,0.04661457613110542,0.9533856511116028,15
11,0.047301035374403,0.04907719045877457,0.9509322643280029,15
12,0.04210729897022247,0.04906782507896423,0.9509322643280029,15
13,0.04199780896306038,0.04938390105962753,0.9504415988922119,15
14,0.042237430810928345,0.054464638233184814,0.9455348253250122,15
15,0.043905556201934814,0.05446525290608406,0.9455348253250122,15
16,0.04524504393339157,0.05329207703471184,0.946516215801239,15
17,0.042233195155858994,0.04808661714196205,0.9519136548042297,15
18,0.03897033631801605,0.04808644950389862,0.9519136548042297,15
19,0.03540525212883949,0.04761480167508125,0.9524043202400208,15
0,0.25177282094955444,0.44995078444480896,0.5500490665435791,20
1,0.442706823348999,0.1259961724281311,0.8738960027694702,20
2,0.1331094205379486,0.12115169316530228,0.8788027763366699,20
3,0.12299478054046631,0.05937201529741287,0.9406280517578125,20
4,0.06607041507959366,0.05694987252354622,0.9430814385414124,20
5,0.06307889521121979,0.05250253900885582,0.947497546672821,20
6,0.05801703408360481,0.063297338783741,0.9367026686668396,20
7,0.06380710750818253,0.05915023759007454,0.9411187171936035,20
8,0.05974182114005089,0.04234601557254791,0.9578017592430115,20
9,0.04695075750350952,0.04170752689242363,0.9582924246788025,20
10,0.047151438891887665,0.05397457629442215,0.9460254907608032,20
11,0.05538938567042351,0.04023557901382446,0.9597644805908203,20
12,0.047513868659734726,0.04806899279356003,0.9519136548042297,20
13,0.048620205372571945,0.057910315692424774,0.9421001076698303,20
14,0.05753733962774277,0.03827336058020592,0.9617272019386292,20
15,0.042771823704242706,0.0382784940302372,0.9617272019386292,20
16,0.0423649363219738,0.03778223693370819,0.9622178673744202,20
17,0.04202839732170105,0.03778223693370819,0.9622178673744202,20
18,0.047040440142154694,0.035327762365341187,0.96467125415802,20
19,0.04347559064626694,0.034347549080848694,0.965652585029602,20
